,file,class,method,constructor,line,cbo,cboModified,fanin,wmc,rfc,loc,hasJavaDoc
67,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,setup/0,False,17,3,2,0,1,0,5,False
68,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,setId/0,False,51,1,0,0,1,3,4,False
69,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,setReportedUser/0,False,57,1,0,0,1,3,4,False
70,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,setRequirement/0,False,63,2,1,0,1,3,5,False
71,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,hashcode/0,False,70,2,2,0,1,3,8,False
72,D:\University\Year 2\cse2115\SEM18b\.\requirements-microservice\src\test\java\nl\tudelft\sem\template\requirements\domain\ReportTest.java,nl.tudelft.sem.template.requirements.domain.ReportTest,getReportedUser/0,False,41,1,0,0,1,2,3,False
73,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\ActivityService.java,nl.tudelft.sem.template.hoa.services.ActivityService,"createActivity/4[int,java.lang.String,nl.tudelft.sem.template.commons.models.DateModel,java.lang.String]",False,39,6,6,2,2,6,11,True
74,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\ActivityService.java,nl.tudelft.sem.template.hoa.services.ActivityService,getAllActivities/0,False,61,2,2,1,1,1,3,True
75,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\ActivityService.java,nl.tudelft.sem.template.hoa.services.ActivityService,getAllActivitiesForUsername/1[java.lang.String],False,71,2,2,1,1,1,3,True
76,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\ActivityService.java,nl.tudelft.sem.template.hoa.services.ActivityService,"ActivityService/2[nl.tudelft.sem.template.hoa.repositories.ActivityRepository,nl.tudelft.sem.template.hoa.services.HoaService]",True,25,2,1,1,1,0,4,True
77,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\ActivityService.java,nl.tudelft.sem.template.hoa.services.ActivityService,"existsByNameAndTime/2[java.lang.String,java.util.GregorianCalendar]",False,82,1,3,2,1,1,3,True
78,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\ActivityService.java,nl.tudelft.sem.template.hoa.services.ActivityService,getActivitiesByHoaId/1[int],False,92,3,4,2,2,2,4,True
79,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\AuthManager.java,nl.tudelft.sem.template.example.authentication.AuthManager,getUsername/0,False,16,0,3,3,1,3,3,True
80,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\hoa\HoaModel.java,nl.tudelft.sem.template.commons.models.hoa.HoaModel,"HoaModel/5[java.lang.String,java.lang.String,java.lang.String,java.util.Set<nl.tudelft.sem.template.commons.models.hoa.FullUserHoaModel>,java.util.Set<nl.tudelft.sem.template.commons.models.hoa.BoardMemberModel>]",True,15,2,0,0,1,0,5,False
81,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\entitites\Hoa.java,nl.tudelft.sem.template.hoa.entitites.Hoa,"Hoa/6[int,java.lang.String,java.lang.String,java.lang.String,java.util.Set<nl.tudelft.sem.template.hoa.entitites.BoardMember>,java.util.Set<nl.tudelft.sem.template.hoa.entitites.UserHoa>]",True,76,2,3,3,1,0,7,False
82,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\entitites\Hoa.java,nl.tudelft.sem.template.hoa.entitites.Hoa,addMember/1[nl.tudelft.sem.template.hoa.entitites.UserHoa],False,56,2,1,1,1,1,4,False
83,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\entitites\Hoa.java,nl.tudelft.sem.template.hoa.entitites.Hoa,getId/0,False,104,0,3,3,1,0,3,False
84,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\entitites\Hoa.java,nl.tudelft.sem.template.hoa.entitites.Hoa,"Hoa/3[java.lang.String,java.lang.String,java.lang.String]",True,69,2,14,14,1,0,6,True
85,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\entitites\Hoa.java,nl.tudelft.sem.template.hoa.entitites.Hoa,toSimpleModel/0,False,100,1,3,2,1,2,3,False
86,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\entitites\Hoa.java,nl.tudelft.sem.template.hoa.entitites.Hoa,toFullModel/0,False,90,3,7,5,1,7,6,True
87,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testLeaveAssociation_hoaDoesNotExist/0,False,119,5,3,0,1,8,11,False
88,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testGetAllUsers/0,False,59,4,3,0,1,6,6,False
89,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,setUp/0,False,54,2,1,0,1,0,3,False
90,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testGetListOfAssociations_none/0,False,185,5,3,0,1,5,5,False
91,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testIsInHoa_false/0,False,209,2,1,0,1,4,8,False
92,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testGetListOfAssociations_some/0,False,193,7,7,0,1,7,13,False
93,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testJoinAssociation_hoaDoesNotExist/0,False,153,4,2,0,1,7,8,False
94,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testJoinAssociation_userDoesNotExist/0,False,165,9,9,0,1,8,16,False
95,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testSaveUser_success/0,False,69,3,2,0,1,5,6,False
96,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testLeaveAssociation_success/0,False,89,6,6,0,1,8,13,False
97,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testIsInHoa_true/0,False,220,2,1,0,1,4,8,False
98,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testJoinAssociation_success/0,False,134,9,8,0,1,7,15,False
99,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testLeaveAssociation_userDoesNotExist/0,False,106,3,1,0,1,7,9,False
100,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\test\java\nl\tudelft\sem\template\hoa\services\UserServiceTest.java,nl.tudelft.sem.template.hoa.services.UserServiceTest,testSaveUser_failure/0,False,79,3,2,0,1,5,6,False
101,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\user\HashedPasswordAttributeConverter.java,nl.tudelft.sem.template.authentication.domain.user.HashedPasswordAttributeConverter,convertToDatabaseColumn/1[nl.tudelft.sem.template.authentication.domain.user.HashedPassword],False,13,1,1,0,1,1,3,False
102,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\user\HashedPasswordAttributeConverter.java,nl.tudelft.sem.template.authentication.domain.user.HashedPasswordAttributeConverter,convertToEntityAttribute/1[java.lang.String],False,18,1,1,0,1,0,3,False
103,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NotificationReport.java,nl.tudelft.sem.template.commons.models.notification.NotificationReport,setBrokenRequirementDescription/1[java.lang.String],False,35,0,0,0,1,0,3,False
104,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NotificationReport.java,nl.tudelft.sem.template.commons.models.notification.NotificationReport,"NotificationReport/3[java.util.List<java.lang.String>,java.lang.String,java.lang.String]",True,13,0,1,1,1,0,5,False
105,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NotificationReport.java,nl.tudelft.sem.template.commons.models.notification.NotificationReport,NotificationReport/0,True,19,0,0,0,1,0,2,False
106,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NotificationReport.java,nl.tudelft.sem.template.commons.models.notification.NotificationReport,setBrokenRequirementName/1[java.lang.String],False,27,0,0,0,1,0,3,False
107,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NotificationReport.java,nl.tudelft.sem.template.commons.models.notification.NotificationReport,getBrokenRequirementDescription/0,False,31,0,1,1,1,0,3,False
108,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\notification\NotificationReport.java,nl.tudelft.sem.template.commons.models.notification.NotificationReport,getBrokenRequirementName/0,False,23,0,1,1,1,0,3,False
109,D:\University\Year 2\cse2115\SEM18b\.\commons\src\main\java\nl\tudelft\sem\template\commons\models\ElectionResultsModel.java,nl.tudelft.sem.template.commons.models.ElectionResultsModel,"ElectionResultsModel/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",True,14,0,5,5,1,0,4,False
110,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\TemporaryVoterEligibilityChecker.java,nl.tudelft.sem.template.voting.domain.TemporaryVoterEligibilityChecker,isVoterEligible/1[java.lang.String],False,8,0,0,0,1,0,3,False
111,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtTokenVerifier.java,nl.tudelft.sem.template.example.authentication.JwtTokenVerifier,getUsernameFromToken/1[java.lang.String],False,25,1,9,8,1,1,3,False
112,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtTokenVerifier.java,nl.tudelft.sem.template.example.authentication.JwtTokenVerifier,"getClaimFromToken/2[java.lang.String,java.util.function.Function<nl.tudelft.sem.template.example.authentication.Claims,T>]",False,38,3,1,0,1,2,4,False
113,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtTokenVerifier.java,nl.tudelft.sem.template.example.authentication.JwtTokenVerifier,getExpirationDateFromToken/1[java.lang.String],False,29,1,2,1,1,1,3,False
114,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\main\java\nl\tudelft\sem\template\example\authentication\JwtTokenVerifier.java,nl.tudelft.sem.template.example.authentication.JwtTokenVerifier,getClaims/1[java.lang.String],False,43,1,1,1,1,4,3,False
